duration_days,team_size,budget_k_usd,past_delay_frequency,requirement_changes,risk_level
57,7,373,0.11074844531895811,34,Low
157,12,659,0.7595824101146318,15,Medium
137,4,430,0.988065566652774,1,Medium
145,5,151,0.9012960107746488,23,High
144,5,543,0.6516679187064259,9,Medium
154,6,693,0.314060794992732,37,Medium
137,14,663,0.2543219811783167,21,Medium
42,9,68,0.8192551048714611,25,Medium
124,2,503,0.8798219139516953,42,High
128,5,531,0.5254349125456929,38,Medium
31,12,643,0.24433994078646615,26,Low
167,3,446,0.11294320841117356,28,Medium
47,4,328,0.08717946783183117,46,Medium
118,10,900,0.7190774473538556,37,Medium
60,6,414,0.42011872784772497,19,Medium
17,12,380,0.9053598742778703,26,Medium
36,8,690,0.7396713007267637,40,Medium
36,1,393,0.1912604179145867,19,Medium
30,10,871,0.613777418815699,43,Low
39,14,504,0.43550545439815935,18,Low
106,8,650,0.5772497307686131,19,Medium
37,11,774,0.7380691233385172,34,Low
120,14,704,0.8061958810037908,46,Medium
70,7,114,0.8437373264067243,1,Medium
57,1,125,0.2539748745720247,29,Medium
156,2,760,0.031115599917357684,33,Medium
13,3,192,0.7392947351647732,21,Medium
44,1,966,0.1063437262557746,2,Low
58,14,964,0.31491958861296765,5,Low
26,9,877,0.0038171341243471435,14,Low
167,8,654,0.6816694824016201,26,Medium
55,2,522,0.16713201147122125,9,Low
126,13,466,0.6552824096916582,8,Medium
15,9,354,0.9917426171678388,32,Medium
108,7,785,0.07267087161001629,31,Medium
133,9,546,0.07707801195146069,47,Medium
46,6,340,0.3403800926666749,5,Medium
33,6,989,0.866386514251342,40,Low
102,11,151,0.21552986879133185,35,Medium
55,14,316,0.36037781993034756,1,Low
104,4,916,0.06850540662697957,28,Medium
108,10,671,0.7631552912588894,3,Medium
125,10,891,0.4083063427594511,0,Low
169,13,991,0.7592487330608428,18,Medium
170,13,826,0.9036078443467951,25,Medium
76,2,52,0.23276314710128876,24,Medium
137,7,134,0.8073960303399513,9,High
27,5,843,0.059093890078253275,14,Low
34,11,377,0.8988473881802473,21,Medium
63,6,865,0.6507685475587474,47,Medium
67,2,499,0.8742267241383516,20,Medium
76,5,503,0.00018839955658189744,21,Medium
113,10,973,0.1690810703559925,35,Medium
33,4,678,0.3897593874264921,33,Low
123,9,270,0.3795029033747186,29,Medium
41,6,203,0.22673038292351066,24,Low
95,2,714,0.3816119398672001,44,Medium
160,1,61,0.12884871200025483,27,High
136,5,182,0.41276112926602604,0,Medium
164,9,353,0.8023543291592642,48,Medium
139,6,342,0.4790700631033512,44,Medium
26,10,349,0.018000088945214987,3,Low
113,12,789,0.4214440415792474,6,Low
170,7,832,0.027175016090844162,48,Medium
146,5,92,0.9662434107067982,8,High
52,10,993,0.12745395942286897,35,Low
48,6,392,0.7076883263306187,18,Medium
179,5,375,0.9727763228920858,0,High
35,11,863,0.8260390516665719,9,Medium
108,9,547,0.6993153751262037,35,Medium
59,6,413,0.8394609095007669,8,Medium
162,11,940,0.9817986932606276,44,Medium
161,8,476,0.6213444972535296,45,Medium
22,2,70,0.5591848068293265,41,Medium
69,12,456,0.6282381104632814,31,Medium
144,13,668,0.532675886761555,31,Medium
66,9,385,0.6350891059097188,5,Medium
45,5,864,0.44984220797255925,47,Medium
29,7,166,0.2184431828833071,37,Medium
74,10,173,0.12024722651167563,16,Medium
17,13,448,0.0683409355322604,9,Low
153,1,842,0.2633157837532001,49,Medium
151,10,853,0.046123564335733835,26,Medium
124,5,764,0.5671707799193856,49,Medium
152,12,100,0.2838284470235203,34,Medium
101,14,832,0.8245348080870322,20,Medium
107,10,373,0.07424087298838644,24,Low
75,14,838,0.22635149434148594,27,Low
41,2,190,0.7302461470901459,46,Medium
95,12,519,0.5988082963834914,14,Medium
60,6,836,0.06449127124916754,3,Low
162,11,851,0.8772394571622004,28,Medium
72,1,383,0.8772617628261795,8,Medium
134,3,942,0.33040800387577385,26,Medium
159,5,422,0.3404058433495647,25,Medium
67,4,613,0.9890283583501739,18,Medium
67,3,543,0.6261761715931382,27,Medium
95,10,588,0.5313165205680591,16,Medium
58,13,718,0.8381521835519244,42,Low
179,5,800,0.28529033835731643,40,Medium
79,11,205,0.4291825933963569,41,Medium
24,8,340,0.26777667548833417,49,Low
63,11,697,0.7891608465887314,19,Low
110,4,193,0.573349345635218,44,Medium
17,1,155,0.6588250701400705,39,Medium
62,11,469,0.25230724983940656,38,Low
69,7,719,0.2202253013773151,48,Medium
117,8,707,0.4883746289829387,22,Medium
14,3,51,0.7375657490928268,46,Medium
112,6,994,0.5252397575201602,31,Medium
15,2,638,0.032645677545668605,46,Low
118,7,693,0.8685515063202888,32,Medium
125,8,139,0.06468689351513157,45,Medium
103,6,394,0.9558244837207522,4,Medium
56,6,399,0.025141958277272725,42,Low
108,5,508,0.6944504561307088,47,Medium
64,8,312,0.08220706371178166,33,Medium
177,1,400,0.9106765794351396,39,High
61,10,157,0.4644332362255428,10,Medium
153,4,635,0.1375237748170154,49,Medium
22,4,88,0.3408156997898466,2,Medium
123,3,958,0.16482467534676204,32,Medium
133,3,208,0.17058191155709002,10,Medium
115,4,632,0.9481083201714422,15,Medium
167,11,361,0.44524611228478816,17,Medium
156,1,290,0.7888022639053596,29,High
154,14,987,0.6396055611776819,47,Medium
129,11,494,0.6764263623383923,9,Medium
72,13,347,0.13169343847203852,17,Low
28,11,85,0.23418444681548567,37,Medium
101,2,133,0.7867503351544369,18,High
67,9,501,0.970766206474783,35,Medium
99,10,935,0.2626756425986517,12,Low
126,2,824,0.27156876475103986,45,Medium
71,5,871,0.47289713281090484,2,Medium
32,9,434,0.9838403128554378,9,Medium
136,9,221,0.26895894582647106,37,Medium
146,8,425,0.4069719096342639,0,Medium
149,1,734,0.8914800156235068,26,High
138,1,411,0.0029210326213620075,45,Medium
67,9,608,0.03976596498856955,7,Low
131,13,940,0.6040716770712192,45,Medium
10,11,190,0.907380164712847,41,Medium
43,8,936,0.23885666040192766,16,Low
105,10,967,0.469641774680709,8,Low
135,9,167,0.4504653016578183,5,Medium
127,7,326,0.47297134609551017,42,Medium
57,3,775,0.6225196957297452,24,Medium
98,3,269,0.46974376299068377,38,Medium
126,2,954,0.4474681413224578,48,Medium
138,5,75,0.4742884204312605,27,High
25,12,570,0.5908674412710415,32,Low
78,12,832,0.5370074883513584,36,Medium
31,3,59,0.8541359976505043,8,Medium
102,14,427,0.049496853493666615,17,Low
85,6,682,0.8333170714730125,20,Medium
163,2,686,0.843924612611724,1,High
153,12,731,0.28490802153096084,42,Medium
95,3,633,0.46285195501585064,37,Medium
38,5,201,0.4385384885374355,39,Medium
78,12,769,0.2185098343541303,35,Low
56,11,98,0.39679684708631646,49,Medium
103,11,203,0.044387772170854434,42,Medium
153,1,908,0.27782207278173443,36,Medium
94,13,342,0.8166821754507181,14,Medium
48,1,629,0.28456230176289754,27,Low
109,10,99,0.8182066687482475,17,Medium
42,9,713,0.5315994646044309,33,Low
110,7,580,0.87986267736116,21,Medium
32,1,661,0.5747795542644152,10,Low
19,12,109,0.029668223064739818,12,Low
78,14,216,0.6754202075470892,3,Medium
109,8,251,0.04485356802356866,21,Medium
43,3,906,0.450597018983134,6,Low
147,8,195,0.929426694473114,42,High
156,5,964,0.16520393933785016,23,Medium
105,1,725,0.3898723529415441,3,Medium
10,7,488,0.7298603088484784,27,Medium
78,5,291,0.8822585560948476,14,Medium
13,6,630,0.6709430047425079,0,Low
25,6,736,0.2581732541911692,2,Low
33,8,610,0.6746078529162162,13,Low
89,9,532,0.29672764110409,37,Medium
11,2,157,0.7184292298187352,49,Medium
137,9,275,0.9540331275850406,0,Medium
169,12,722,0.7213934511062883,37,Medium
93,11,680,0.8628805029124124,37,Medium
161,10,710,0.002103843175883413,20,Medium
149,9,711,0.7175721247315944,47,Medium
172,13,481,0.8295875568652503,28,Medium
133,10,854,0.04055873754468142,4,Medium
42,10,704,0.8715977272882306,48,Low
170,7,468,0.25669422831004585,9,Medium
110,1,504,0.6652921019780552,27,Medium
21,7,209,0.8003548790234066,20,Medium
76,10,572,0.6626645130593555,49,Medium
74,5,699,0.09228479207325724,6,Low
170,6,639,0.5963215188603683,2,Medium
177,10,126,0.5495836567221436,44,Medium
83,7,558,0.9003212680742715,46,Medium
52,14,490,0.4042397296442092,19,Low
53,5,303,0.3210810970870501,18,Medium
38,7,970,0.7498507644364663,34,Medium
150,9,819,0.41267532608339663,3,Medium
21,3,369,0.646096175005063,4,Medium
104,8,852,0.646450090124607,0,Low
55,2,312,0.8880390643601178,3,Medium
139,11,646,0.5986924023190974,11,Medium
44,7,707,0.5021536099619869,26,Medium
90,13,884,0.138871326396517,41,Low
99,2,603,0.11573760667870536,22,Medium
17,14,423,0.1543215652830794,24,Low
102,4,686,0.17184848132709452,20,Medium
163,7,216,0.6378770926636339,23,High
99,3,986,0.7409812502745785,24,Medium
171,2,802,0.5299915229264187,44,Medium
124,11,508,0.829017732545491,45,Medium
114,10,329,0.9912632267336332,31,Medium
144,7,749,0.820012629119356,31,Medium
67,1,351,0.6948823736759592,4,Medium
123,14,580,0.5324926994371466,35,Medium
84,8,629,0.4488530716747082,45,Medium
166,3,267,0.08439238054454234,41,High
129,12,151,0.39936874839469094,48,Medium
173,12,603,0.9101346367821342,41,High
30,13,337,0.8080226299065529,38,Medium
173,2,216,0.2160513650116872,15,Medium
147,3,670,0.46660778469721587,32,Medium
110,5,85,0.8167232025585446,48,High
161,11,793,0.06738455478552252,20,Low
108,8,790,0.3873925856686593,8,Medium
45,10,402,0.8518412368739476,5,Low
105,7,725,0.40389786417012374,44,Medium
161,7,948,0.07761464473144086,34,Low
160,12,122,0.5425343685322515,38,High
46,7,697,0.8617424949182954,21,Medium
21,8,402,0.5902855429531597,40,Medium
122,1,940,0.2262791082142318,4,Medium
22,4,119,0.38423962013738133,41,Medium
32,13,474,0.4501233611819322,22,Low
108,6,757,0.5792663538205268,16,Low
114,9,830,0.759351025752613,11,Medium
39,13,610,0.0988736176406354,22,Low
26,2,877,0.8896520330175663,15,Low
122,1,691,0.01230970301607559,2,Medium
71,13,566,0.37005233467425525,29,Medium
93,10,477,0.027420309972657653,21,Low
121,12,588,0.39297422534529125,8,Low
95,14,209,0.5258125988733238,28,Medium
150,2,198,0.5116813865815117,46,High
28,7,825,0.16562834702826534,36,Low
109,3,279,0.6457405100956123,22,Medium
149,10,761,0.04477845050466822,12,Low
156,2,611,0.7619068201324154,31,High
85,14,116,0.9466444339935463,45,Medium
18,11,861,0.3397688271511179,46,Low
37,7,430,0.5172393817143319,47,Medium
137,13,107,0.3789102780588144,22,Medium
61,13,308,0.006710390304059954,44,Low
92,2,391,0.38587450289511593,16,Medium
120,3,887,0.7917202592613465,39,Medium
153,11,179,0.5959888421834818,20,High
126,7,776,0.10125991461515893,1,Low
78,14,221,0.847139489693785,36,Medium
108,4,819,0.5310853448852428,5,Medium
149,13,663,0.8417233617446761,43,Medium
34,14,258,0.5802215187850294,17,Low
132,1,852,0.5596884448379399,29,Medium
62,13,403,0.10525918519701238,21,Medium
160,14,520,0.16735973313862795,32,Medium
153,5,847,0.9720252564965911,29,Medium
66,12,165,0.22848674675477076,16,Low
48,9,313,0.9774521179903679,42,Medium
118,8,711,0.5319127065242634,31,Medium
51,12,861,0.13578904706393713,41,Low
176,9,491,0.09930220275369295,13,Medium
151,10,597,0.20886407070573998,9,Medium
131,14,502,0.9256373300253358,46,Medium
142,9,894,0.4141502243282268,35,Medium
172,7,526,0.39543426799291437,33,Medium
84,4,336,0.313206261070174,8,Medium
155,5,352,0.14706185056658838,41,High
85,1,360,0.48785119719240644,27,Medium
18,14,257,0.1300477825111387,10,Low
83,1,667,0.8354802363823276,13,Medium
154,3,495,0.3703969862753065,38,Medium
16,13,719,0.37480356778179635,46,Low
150,14,682,0.4740064284831559,18,Medium
177,8,104,0.4441277131657516,14,High
179,14,961,0.9948579730593216,27,Medium
146,2,61,0.5453811212183025,23,High
36,4,706,0.08820170378987069,7,Low
131,2,449,0.60687734157693,42,High
14,14,957,0.15158429286987996,8,Low
38,5,697,0.030937644731341973,46,Medium
174,9,564,0.9707421536772481,32,High
175,1,705,0.7735388915345639,32,High
92,5,591,0.9801089924137669,18,Medium
145,14,286,0.47787844802224244,2,Medium
118,9,328,0.5322575311489761,9,Medium
74,1,397,0.16833695591913023,39,Medium
95,9,676,0.24690742666758558,46,Medium
154,8,153,0.8385492149028282,41,High
80,4,679,0.35618564711759415,0,Low
54,12,566,0.826814973796419,28,Medium
141,11,921,0.7090137242870318,49,Medium
45,10,297,0.1771709252718655,33,Low
79,5,413,0.5074463661197421,12,Medium
168,13,370,0.6773873215187168,0,Medium
28,5,682,0.2350372148038251,33,Low
117,11,335,0.8306885105200769,28,Medium
176,12,198,0.5448276575451868,47,Medium
100,6,133,0.1652420504426032,46,Medium
99,7,455,0.5829844261646024,12,Medium
28,8,505,0.999713804155914,47,Medium
48,14,792,0.15052149166341355,48,Low
135,8,849,0.8167569301195281,28,Medium
150,11,210,0.20730900318755796,38,Medium
135,14,833,0.7823883294600873,23,Medium
67,13,509,0.7345779231214132,25,Medium
157,2,599,0.30048938560043237,16,Medium
70,9,549,0.3258231175644498,6,Medium
136,7,787,0.7925213919629192,12,Medium
114,4,558,0.46144551188731264,4,Medium
176,4,703,0.7308180287118088,25,Medium
10,11,853,0.14798414736583476,48,Low
140,8,530,0.8525577819015535,2,Medium
101,4,712,0.7108847166823191,6,Medium
122,13,163,0.9069428088348339,48,Medium
162,6,798,0.13237237903497245,38,Medium
65,5,627,0.5930145003605977,0,Medium
170,3,410,0.5991205850403252,48,High
175,13,390,0.35346074054678245,16,Medium
126,14,819,0.4584664245692578,42,Medium
143,10,810,0.03798156328985347,24,Low
67,11,498,0.745860038627012,2,Low
53,2,892,0.549322479403174,14,Medium
169,9,884,0.057741051869173776,28,Medium
70,10,229,0.6807558929604856,42,Medium
56,9,751,0.4667820772311879,31,Low
158,1,456,0.034461259425,25,Medium
89,10,715,0.9696077268480954,15,Medium
127,3,245,0.9491121430894405,24,High
173,8,515,0.5129024161471976,27,High
156,6,360,0.0936724207059102,8,Medium
29,5,311,0.7546212215985918,0,Medium
155,5,468,0.49193110010572905,28,High
56,6,455,0.3024474782893799,21,Medium
58,7,988,0.49141817752855677,15,Low
23,1,192,0.5224441454054645,40,Medium
152,9,391,0.5627116990223392,43,Medium
168,3,365,0.44122371365532653,40,High
10,4,150,0.6057553031390567,6,Medium
126,10,293,0.9187347106063773,13,Medium
63,1,539,0.36226808709859115,28,Low
127,13,61,0.7257164632199491,18,Medium
12,11,288,0.8944525568242322,18,Medium
153,10,610,0.4559792757599369,1,Medium
21,3,91,0.4434558363819041,40,Medium
83,2,727,0.6021169853547795,44,Medium
25,2,643,0.5914067594224881,14,Medium
111,14,478,0.806589342326277,2,Medium
161,1,852,0.4764833837782927,10,Medium
165,8,207,0.9961229496394411,45,High
126,3,265,0.05947156886728078,29,Medium
17,3,719,0.0031678485807017376,39,Low
131,6,511,0.6401983115596238,17,Medium
101,13,183,0.2984349123618767,47,Medium
173,8,116,0.2403823886994838,1,Medium
99,13,897,0.31189908000428046,31,Low
145,9,56,0.2560475651049543,7,Medium
69,9,997,0.03079004966044785,21,Low
37,4,575,0.9715330423905887,5,Medium
110,14,122,0.22074548845278175,11,Low
50,5,448,0.7340297625893063,46,Medium
164,2,454,0.7625963946941753,39,High
154,11,724,0.9292573980072293,35,Medium
170,9,627,0.030549457093379973,14,Medium
166,8,908,0.8720483384470077,27,Medium
150,3,179,0.5272261808398002,48,High
55,11,980,0.6325441099658279,44,Medium
44,12,515,0.6444702771210337,17,Low
143,13,255,0.8197978049847275,1,Medium
91,9,837,0.3334073221591105,12,Medium
124,3,817,0.7330511898599934,44,Medium
56,9,315,0.5285781097221971,14,Medium
162,2,586,0.7933940143053477,19,Medium
19,12,842,0.9905460327701334,28,Low
65,10,302,0.20065101740376123,41,Medium
39,9,871,0.9946486415599979,28,Medium
118,8,338,0.089812154282774,2,Medium
14,9,213,0.002317547904813866,18,Low
128,5,144,0.04416193617783126,2,Medium
42,11,831,0.3417824047367617,13,Low
127,11,882,0.6329063306784342,39,Medium
74,2,159,0.06902954088784963,3,Medium
155,8,385,0.00566581452956727,10,Medium
20,12,871,0.9370910284587948,30,Low
94,6,287,0.8219266359399297,42,Medium
35,8,430,0.809183171139031,31,Medium
72,11,485,0.8844242755019771,26,Medium
95,5,948,0.7000342727721044,29,Medium
68,10,532,0.10440412974808144,42,Low
